tree	leaf	site	lat	long	loc	use	scan uploaded	bladeL	bladeW	sinusMinL	sinusNextL	petioleL	petioleW	bladeLtoWidestPoint	Area	Mass	Area/Mass	bladeBaseAngle	TotalL.PL+BL	PL/TL	SinusRatio	SinusRatioN	BL/BW	PL/PW	BL/BW.over.PL/PW	BL/BLWP	BW/SinusMinL
IA-MG243	E-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	166.865	117.611	32.642	68.36	23.601	1.444	129.322	10564.184	1.406	7513.644381	84.566	190.466	0.1239118793	0.4775014628		1.418787358	16.34418283	0.08680687028	1.290306367	3.603057411
IA-MG243	E-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	142.588	93.277	33.815	53.732	19.053	1.08	111.572	7752.508	1.042	7440.026871	79.99	161.641	0.117872322	0.6293270304		1.528651222	17.64166667	0.08665004563	1.277990894	2.758450392
IA-MG243	N-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	105.062	68.33	29.095	33.464	15.347	1.042	83.858	4143.963	0.414	10009.57246	84.78	120.409	0.1274572499	0.8694417882		1.537567686	14.72840691	0.1043947044	1.252856019	2.34851349
IA-MG243	N-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	146.608	99.082	9.418	19.651	22.73	0.947	107.735	6491.729	0.575	11289.96348	71.152	169.338	0.1342285843	0.4792631418		1.479663309	24.00211193	0.0616472131	1.360820532	10.52049267
IA-MG243	S-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	147.568	105.294	9.1	20.71	25.566	1.151	105.237	6207.99	0.815	7617.165644	68.61	173.134	0.1476659697	0.4394012554		1.401485365	22.21198957	0.06309589513	1.402244458	11.57076923
IA-MG243	S-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	111.389	64.006	32.354	53.259	17.651	1.189	98.708	6087.655	0.893	6817.082867	80.542	129.04	0.1367870428	0.6074841811		1.740289973	14.84524811	0.1172287563	1.12846983	1.978302528
IA-MG243	W-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	144.56	91.552	6.06	17.116	16.018	1.042	132.634	6187.596	0.563	10990.40142	79.942	160.578	0.09975214537	0.3540546857		1.578993359	15.37236084	0.1027163866	1.089916613	15.10759076
IA-MG243	W-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	126.994	82.404	6.422	13.981	15.554	1.144	82.26	5693.551	0.653	8719.067381	77.372	142.548	0.109114123	0.4593376726		1.541114509	13.59615385	0.1133492991	1.543812302	12.83151666
IA-MG244	E-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	158.042	99.074	29.245	36.043	20.507	1.569	109.565	8680.413	0.702	12365.26068	64.63	178.549	0.1148536256	0.8113919485		1.595191473	13.07010835	0.1220488331	1.442449687	3.387724397
IA-MG244	E-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	130.413	120.27	12.441	33.709	14.96	1.38	70.452	7964.283	0.713	11170.10238	97.201	145.373	0.1029076926	0.3690705746		1.084335246	10.84057971	0.1000255775	1.851090104	9.667229322
IA-MG244	N-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	162.153	113.948	13.075	58.485	16.068	1.314	98.622	7333.733	0.735	9977.868027	96.16	178.221	0.09015772552	0.223561597		1.423043845	12.2283105	0.1163728909	1.644186895	8.714952199
IA-MG244	N-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	150.403	118.753	12.151	86.863	16.744	1.156	102.7	7966.209	0.758	10509.51055	110.366	167.147	0.1001752948	0.1398869484		1.266519583	14.48442907	0.0874400763	1.464488802	9.773105094
IA-MG244	S-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	200.655	140.508	11.706	77.612	21.783	1.696	116.943	12914.327	1.373	9405.919155	82.346	222.438	0.09792841151	0.1508271917		1.428068153	12.84375	0.111187788	1.71583592	12.00307535
IA-MG244	S-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	195.198	111.191	46.799	74.651	22.802	1.389	163.025	10155.928	1.031	9850.560621	49.322	218	0.1045963303	0.6269038593		1.755519781	16.41612671	0.1069387324	1.1973501	2.375926836
IA-MG244	S-C	Cherokee Park Trail	41.97367	-91.72547	IA	F	y	186.683	112.219	22.037	75.693	19.636	1.089	127.694	8401.201	0.764	10996.33639	48.958	206.319	0.09517300879	0.2911365648		1.663559647	18.0312213	0.09225995393	1.461955926	5.092299315
IA-MG244	S-D	Cherokee Park Trail	41.97367	-91.72547	IA	F	y	178.339	105.122	26.38	59.532	22.079	1.272	131.479	8848.421	0.845	10471.50414	57.471	200.418	0.1101647557	0.4431230263		1.6964955	17.3577044	0.09773731947	1.356406727	3.984912813
IA-MG244	W-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	188.934	129.39	25.444	80.811	26.954	1.272	116.285	10283.144	1.105	9306.01267	70.344	215.888	0.124851775	0.3148581258		1.460190123	21.19025157	0.06890857892	1.624749538	5.085285332
IA-MG244	W-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	190.413	124.925	13.22	79.408	26.834	1.357	137.481	9773.592	0.963	10149.10903	63.609	217.247	0.1235183915	0.1664819666		1.524218531	19.77450258	0.07707999354	1.385013202	9.449697428
IA-MG245	E-A	Cherokee Park Trail	41.97362	-91.72565	IA	T	y	210.138	133.459	27.631	43.34	26.001	1.398	107.636	12311.907	1.258	9786.889507	74.275	236.139	0.1101088766	0.6375403784		1.574550986	18.59871245	0.08465913919	1.952302204	4.830045963
