tree	leaf	site	lat	long	loc	use	scan uploaded	bladeL	bladeW	sinusMinL	sinusNextL	petioleL	petioleW	bladeLtoWidestPoint	Area	Mass	Area/Mass	bladeBaseAngle	TotalL.PL+BL	PL/TL	SinusRatio	SinusRatioN	BL/BW	PL/PW	BL/BW.over.PL/PW	BL/BLWP	BW/SinusMinL
IA-MG243	E-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	166.865	117.611	32.642	68.36	23.601	1.444	129.322	10564.184	1.406	7513.644381	84.566	190.466	0.123911879	0.477501463		1.418787358	16.34418283	0.08680687	1.290306367	3.603057411
IA-MG243	E-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	142.588	93.277	33.815	53.732	19.053	1.08	111.572	7752.508	1.042	7440.026871	79.99	161.641	0.117872322	0.62932703		1.528651222	17.64166667	0.086650046	1.277990894	2.758450392
IA-MG243	N-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	105.062	68.33	29.095	33.464	15.347	1.042	83.858	4143.963	0.414	10009.57246	84.78	120.409	0.12745725	0.869441788		1.537567686	14.72840691	0.104394704	1.252856019	2.34851349
IA-MG243	N-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	146.608	99.082	9.418	19.651	22.73	0.947	107.735	6491.729	0.575	11289.96348	71.152	169.338	0.134228584	0.479263142		1.479663309	24.00211193	0.061647213	1.360820532	10.52049267
IA-MG243	S-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	147.568	105.294	9.1	20.71	25.566	1.151	105.237	6207.99	0.815	7617.165644	68.61	173.134	0.14766597	0.439401255		1.401485365	22.21198957	0.063095895	1.402244458	11.57076923
IA-MG243	S-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	111.389	64.006	32.354	53.259	17.651	1.189	98.708	6087.655	0.893	6817.082867	80.542	129.04	0.136787043	0.607484181		1.740289973	14.84524811	0.117228756	1.12846983	1.978302528
IA-MG243	W-A	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	144.56	91.552	6.06	17.116	16.018	1.042	132.634	6187.596	0.563	10990.40142	79.942	160.578	0.099752145	0.354054686		1.578993359	15.37236084	0.102716387	1.089916613	15.10759076
IA-MG243	W-B	Cherokee Park Trail	41.97454	-91.72161	IA	T	y	126.994	82.404	6.422	13.981	15.554	1.144	82.26	5693.551	0.653	8719.067381	77.372	142.548	0.109114123	0.459337673		1.541114509	13.59615385	0.113349299	1.543812302	12.83151666
IA-MG244	E-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	158.042	99.074	29.245	36.043	20.507	1.569	109.565	8680.413	0.702	12365.26068	64.63	178.549	0.114853626	0.811391949		1.595191473	13.07010835	0.122048833	1.442449687	3.387724397
IA-MG244	E-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	130.413	120.27	12.441	33.709	14.96	1.38	70.452	7964.283	0.713	11170.10238	97.201	145.373	0.102907693	0.369070575		1.084335246	10.84057971	0.100025578	1.851090104	9.667229322
IA-MG244	N-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	162.153	113.948	13.075	58.485	16.068	1.314	98.622	7333.733	0.735	9977.868027	96.16	178.221	0.090157726	0.223561597		1.423043845	12.2283105	0.116372891	1.644186895	8.714952199
IA-MG244	N-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	150.403	118.753	12.151	86.863	16.744	1.156	102.7	7966.209	0.758	10509.51055	110.366	167.147	0.100175295	0.139886948		1.266519583	14.48442907	0.087440076	1.464488802	9.773105094
IA-MG244	S-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	200.655	140.508	11.706	77.612	21.783	1.696	116.943	12914.327	1.373	9405.919155	82.346	222.438	0.097928412	0.150827192		1.428068153	12.84375	0.111187788	1.71583592	12.00307535
IA-MG244	S-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	195.198	111.191	46.799	74.651	22.802	1.389	163.025	10155.928	1.031	9850.560621	49.322	218	0.10459633	0.626903859		1.755519781	16.41612671	0.106938732	1.1973501	2.375926836
IA-MG244	S-C	Cherokee Park Trail	41.97367	-91.72547	IA	F	y	186.683	112.219	22.037	75.693	19.636	1.089	127.694	8401.201	0.764	10996.33639	48.958	206.319	0.095173009	0.291136565		1.663559647	18.0312213	0.092259954	1.461955926	5.092299315
IA-MG244	S-D	Cherokee Park Trail	41.97367	-91.72547	IA	F	y	178.339	105.122	26.38	59.532	22.079	1.272	131.479	8848.421	0.845	10471.50414	57.471	200.418	0.110164756	0.443123026		1.6964955	17.3577044	0.097737319	1.356406727	3.984912813
IA-MG244	W-A	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	188.934	129.39	25.444	80.811	26.954	1.272	116.285	10283.144	1.105	9306.01267	70.344	215.888	0.124851775	0.314858126		1.460190123	21.19025157	0.068908579	1.624749538	5.085285332
IA-MG244	W-B	Cherokee Park Trail	41.97367	-91.72547	IA	T	y	190.413	124.925	13.22	79.408	26.834	1.357	137.481	9773.592	0.963	10149.10903	63.609	217.247	0.123518392	0.166481967		1.524218531	19.77450258	0.077079994	1.385013202	9.449697428
IA-MG245	E-A	Cherokee Park Trail	41.97362	-91.72565	IA	T	y	210.138	133.459	27.631	43.34	26.001	1.398	107.636	12311.907	1.258	9786.889507	74.275	236.139	0.110108877	0.637540378		1.574550986	18.59871245	0.084659139	1.952302204	4.830045963
IA-MG245	E-B	Cherokee Park Trail	41.97362	-91.72565	IA	T	y	195.793	114.974	15.631	59.502	32.29	1.439	130.538	9455.051	0.932	10144.90451	78.111	228.083	0.14157127	0.262697052		1.702932837	22.43919388	0.075890999	1.499892752	7.355511484
IA-MG245	N-A	Cherokee Park Trail	41.97362	-91.72565	IA	T	y	196.201	139.102	11.325	89.373	15.353	1.497	129.05	12513.93	1.032	12125.90116	68.813	211.554	0.072572487	0.126716122		1.410482955	10.25584502	0.137529667	1.520348702	12.28273731
IA-MG245	N-B	Cherokee Park Trail	41.97362	-91.72565	IA	T	y	146.066	84.666	23.892	59.009	17.551	1.38	115.288	6875.825	0.617	11143.96272	72.89	163.617	0.107268805	0.40488739		1.725202561	12.71811594	0.135649224	1.266966206	3.543696635
IA-MG245	S-A	Cherokee Park Trail	41.97362	-91.72565	IA	T	y	179.785	113.19	29.909	68.21	19.952	1.429	125.569	8445.855	0.968	8725.056818	78.081	199.737	0.099891357	0.438484093		1.588347027	13.96221134	0.11376042	1.431762617	3.784479588
IA-MG245	S-B	Cherokee Park Trail	41.97362	-91.72565	IA	T	y	172.938	108.652	11.428	53.59	18.606	1.319	111.608	7489.154	0.714	10489.0112	81.999	191.544	0.09713695	0.21324874		1.591668814	14.10614102	0.11283517	1.54951258	9.507525376
IA-MG245	W-A	Cherokee Park Trail	41.97362	-91.72565	IA	F	y									Missing	#VALUE!		0	#DIV/0!	#DIV/0!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
IA-MG245	W-B	Cherokee Park Trail	41.97362	-91.72565	IA	F	y									Missing	#VALUE!		0	#DIV/0!	#DIV/0!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
IL-SF001	E-A	Morton Arboretum	41.816956	-88.080808	IL	T	y	131.284	106.16	8.114	45.393	25.935	1.694	96.693	7588.44	0.998	7603.647295	62.168	157.219	0.164960978	0.178750028		1.236661643	15.30991736	0.0807752	1.357740478	13.08355928
IL-SF001	E-B	Morton Arboretum	41.816956	-88.080808	IL	T	y	123.576	125.757	22.502	71.659	26.064	2.063	80.299	7522.515	0.951	7910.11041	91.894	149.64	0.174178027	0.314014988		0.982657029	12.63402811	0.077778601	1.538948181	5.588703226
IL-SF001	N-A	Morton Arboretum	41.816956	-88.080808	IL	T	y	154.12	123.121	12.399	39.892	25.636	1.972	107.227	9801.612	1.266	7742.189573	113.4	179.756	0.142615546	0.310814198		1.251776707	13	0.096290516	1.437324554	9.929913703
IL-SF001	N-B	Morton Arboretum	41.816956	-88.080808	IL	T	y	133.709	113.306	13.567	62.393	24.079	1.685	102.154	7777.573	1.125	6913.398222	118.492	157.788	0.152603493	0.217444265		1.180069899	14.29020772	0.082578919	1.308896372	8.351588413
IL-SF001	S-A	Morton Arboretum	41.816956	-88.080808	IL	T	y	124.05	93.253	5.497	55.616	23.587	1.528	101.712	6506.778	0.795	8184.626415	91.113	147.637	0.159763474	0.098838464		1.33025211	15.43651832	0.086175657	1.219620104	16.96434419
IL-SF001	S-B	Morton Arboretum	41.816956	-88.080808	IL	T	y	128.34	98.488	5.922	15.315	25.458	1.549	103.437	5510.249	0.671	8211.995529	50.854	153.798	0.165528811	0.386679726		1.303102916	16.43511943	0.079287706	1.240755242	16.63086795
IL-SF001	W-A	Morton Arboretum	41.816956	-88.080808	IL	T	y	150.24	116.463	11.562	16.254	26.329	1.99	116.208	9964.774	1.183	8423.308538	120.817	176.569	0.149114511	0.711332595		1.290023441	13.23065327	0.097502626	1.292854192	10.07291126
IL-SF001	W-B	Morton Arboretum	41.816956	-88.080808	IL	T	y	126.793	109.352	21.223	81.588	22.653	1.761	95.328	7272.16	0.844	8616.303318	63.875	149.446	0.151579835	0.260124038		1.159494111	12.8637138	0.090136809	1.330070913	5.152523206
IL-SF002	E-A	Morton Arboretum	41.813309	-88.082666	IL	T	y	125.019	88.444	16.705	42.192	16.441	1.417	81.756	5991.989	0.709	8451.324401	53.279	141.46	0.116223668	0.395928138		1.41353851	11.60268172	0.121828603	1.529172171	5.294462736
IL-SF002	E-B	Morton Arboretum	41.813309	-88.082666	IL	T	y	121.5	77.502	25.574	33.378	22.256	0.986	67.948	710.787	0.663	1072.076923	36.511	143.756	0.154817886	0.766193301		1.567701479	22.57200811	0.069453346	1.788132101	3.030499726
